AID04218 1 0 0 05_1739 
AID04105 1 0 0 05_1739 
AID04219 1 2 0 05_1739 
AID03103 2 0 0 05_1739 
AID04220 1 0 0 05_1739 
AID03104 0 0 0 05_1739 
AID04220 1 0 0 05_1739 
AID04104 1 0 1 05_1739 
H703F 3 0 0 05_1739 
AID04103 0 0 0 05_1739 
AID03102 1 0 0 05_1739 
AID04221 1 0 0 05_1739 
AID03101 0 0 0 05_1739 
AID04102 2 0 0 05_1739 
AID04101 0 1 0 05_1739 
H130F 2 0 0 05_1739 
H132F2 0 0 0 05_1739 
AID04218 1 0 0 05_1754 
AID04105 0 1 0 05_1754 
AID04219 1 0 0 05_1754 
AID03103 1 0 0 05_1754 
AID04220 1 0 0 05_1754 
AID03104 0 0 0 05_1754 
AID04220 1 0 0 05_1754 
AID04104 3 2 0 05_1754 
H703F 1 0 0 05_1754 
AID04103 0 0 1 05_1754 
AID03102 0 0 1 05_1754 
AID04221 0 0 0 05_1754 
AID03101 0 0 0 05_1754 
AID04102 0 0 0 05_1754 
AID04101 0 0 0 05_1754 
H130F 4 0 2 05_1755 
H132F2 0 0 0 05_1755 
AID04218 2 0 0 05_1810 
AID04105 2 0 1 05_1810 
AID04219 0 0 0 05_1810 
AID03103 2 0 0 05_1810 
AID04220 1 0 0 05_1810 
AID03104 0 0 0 05_1810 
AID04220 1 0 0 05_1810 
AID04104 0 0 0 05_1810 
H703F 4 0 1 05_1810 
AID04103 0 0 0 05_1810 
AID03102 1 0 0 05_1810 
AID04221 0 0 0 05_1810 
AID03101 0 0 0 05_1810 
AID04102 0 0 0 05_1810 
AID04101 0 0 0 05_1810 
H130F 2 0 1 05_1810 
H132F2 0 0 0 05_1810 
AID04218 2 0 0 05_1825 
AID04105 1 0 0 05_1825 
AID04219 1 0 0 05_1825 
AID03103 0 0 0 05_1825 
AID04220 4 0 0 05_1825 
AID03104 0 0 0 05_1825 
AID04220 4 0 0 05_1825 
AID04104 4 0 0 05_1825 
H703F 3 0 1 05_1825 
AID04103 2 1 0 05_1825 
AID03102 0 0 0 05_1825 
AID04221 0 0 0 05_1825 
AID03101 2 0 0 05_1825 
AID04102 0 0 0 05_1825 
AID04101 0 0 0 05_1825 
H130F 0 0 2 05_1825 
H132F2 0 0 0 05_1825 
AID04218 2 1 0 05_1840 
AID04105 2 1 0 05_1840 
AID04219 1 0 1 05_1840 
AID03103 0 0 0 05_1840 
AID04220 3 0 0 05_1840 
AID03104 3 0 0 05_1840 
AID04220 3 0 0 05_1840 
AID04104 1 0 0 05_1840 
H703F 0 0 0 05_1840 
AID04103 0 0 0 05_1840 
AID03102 0 0 0 05_1840 
AID04221 0 0 0 05_1840 
AID03101 0 0 0 05_1840 
AID04102 0 0 0 05_1840 
AID04101 0 0 0 05_1840 
H130F 5 0 1 05_1840 
H132F2 0 0 0 05_1841 
AID04218 1 1 0 05_1856 
AID04105 1 0 1 05_1856 
AID04219 2 0 0 05_1856 
AID03103 3 0 0 05_1856 
AID04220 0 0 0 05_1856 
AID03104 0 0 0 05_1856 
AID04220 0 0 0 05_1856 
AID04104 2 0 2 05_1856 
H703F 1 0 0 05_1856 
AID04103 1 0 0 05_1856 
AID03102 0 0 0 05_1856 
AID04221 0 0 0 05_1856 
AID03101 1 0 0 05_1856 
AID04102 0 0 0 05_1856 
AID04101 0 0 0 05_1856 
H130F 6 0 0 05_1856 
H132F2 0 0 0 05_1856 
AID04218 1 0 0 05_1911 
AID04105 2 0 0 05_1911 
AID04219 4 0 0 05_1911 
AID03103 2 0 0 05_1911 
AID04220 0 0 0 05_1911 
AID03104 0 0 0 05_1911 
AID04220 0 0 0 05_1911 
AID04104 1 0 1 05_1911 
H703F 0 0 0 05_1911 
AID04103 0 0 0 05_1911 
AID03102 0 0 0 05_1911 
AID04221 0 0 0 05_1911 
AID03101 0 0 0 05_1911 
AID04102 0 0 0 05_1911 
AID04101 0 0 0 05_1911 
H130F 2 0 0 05_1911 
H132F2 0 0 0 05_1911 
AID04218 0 0 0 05_1926 
AID04105 0 0 0 05_1926 
AID04219 4 0 0 05_1926 
AID03103 0 0 0 05_1926 
AID04220 0 0 0 05_1926 
AID03104 0 0 0 05_1926 
AID04220 0 0 0 05_1926 
AID04104 2 0 0 05_1926 
H703F 0 0 0 05_1926 
AID04103 0 0 0 05_1926 
AID03102 0 0 0 05_1926 
AID04221 0 0 0 05_1926 
AID03101 0 0 0 05_1926 
AID04102 0 0 0 05_1926 
AID04101 0 0 0 05_1926 
H130F 1 0 1 05_1926 
H132F2 0 0 0 05_1926 
AID04218 1 0 0 05_1942 
AID04105 2 0 0 05_1942 
AID04219 3 0 0 05_1942 
AID03103 2 0 0 05_1942 
AID04220 2 0 0 05_1942 
AID03104 0 0 0 05_1942 
AID04220 2 0 0 05_1942 
AID04104 0 0 0 05_1942 
H703F 0 0 0 05_1942 
AID04103 0 0 0 05_1942 
AID03102 1 0 0 05_1942 
AID04221 1 0 0 05_1942 
AID03101 0 0 0 05_1942 
AID04102 0 0 0 05_1942 
AID04101 0 0 0 05_1942 
H130F 0 0 1 05_1942 
H132F2 0 0 0 05_1942 
AID04218 1 0 0 05_1957 
AID04105 2 1 0 05_1957 
AID04219 0 0 0 05_1957 
AID03103 0 0 0 05_1957 
AID04220 2 0 0 05_1957 
AID03104 0 0 0 05_1957 
AID04220 2 0 0 05_1957 
AID04104 2 0 0 05_1957 
H703F 0 0 0 05_1957 
AID04103 0 0 0 05_1957 
AID03102 2 0 0 05_1957 
AID04221 1 0 0 05_1957 
AID03101 0 0 0 05_1957 
AID04102 0 0 0 05_1957 
AID04101 0 0 0 05_1957 
H130F 0 1 0 05_1957 
H132F2 0 0 0 05_1957 
AID04218 2 0 0 05_2012 
AID04105 0 0 0 05_2012 
AID04219 1 0 0 05_2012 
AID03103 1 0 0 05_2012 
AID04220 1 0 0 05_2012 
AID03104 0 0 0 05_2012 
AID04220 1 0 0 05_2012 
AID04104 0 0 0 05_2012 
H703F 0 0 0 05_2012 
AID04103 0 0 0 05_2012 
AID03102 0 0 0 05_2012 
